MORETON AIRPARK|23AZ|MORETON AIRPARK, LLP
WINFIELD AIRPARK|54AR|WINFIELD AIRPARK ASSOCIATION
CYPRESS CREEK AIRPARK|6AR0|JOSEPH EDWARDS
PINE MOUNTAIN AIRPARK|6AR9|PINE MOUNTAIN AIRPARK ASSOC INC
OZARK SKIES AIRPARK|05AR|ROBERT L. RUTZ
MCALISTER AIRPARK|1AR4|JOSEPH H. MCALISTER
BROWNSVILLE AIRPARK|2CL1|BROWNSVILLE AIRPARK LLC
DOUBLE CREEK AIRPARK|CN42|DOUBLE CREEK AIRPARK PARTNERSHIP
ROBERT OLIVER AIRPARK|5CL1|TIM OLIVER
TURLOCK AIRPARK|9CL0|AVLAEN LLC
ALTA MESA AIRPARK|3CN7|ALTA MESA AIRPARK ASSOC.
CRESTED BUTTE AIRPARK|0CO2|CRESTED BUTTE AIRPARK ASSOCIATION
ANTELOPE AIRPARK|93CO|ANTHONY F BOCCIO
STONINGTON AIRPARK|CT80|MICHAEL M. CONNERY
SPIRIT AIRPARK|DE20|DAVID & NANCY CANNAVO
