MONROE AIRPARK|2FA2|DENNIS MONROE
O'BRIEN AIRPARK EAST/WEST|FD71|O'BRIEN AIRPARK ASSOCIATION
COLLIER/PINE BARREN AIRPARK|FD89|NEAL COLLIER
CENTRAL FLORIDA AIRPARK|2FA6|LAND AIR FLORIDA, LLC
TRIPLE B AIRPARK|FL81|THOMAS & CORDELIA OLDHAM
FORT ATKINSON PLANTATION AIRPARK|9FD7|DICK HOLDINGS, LLC
CORKSCREW TRACE AIRPARK|1FD4|BOVINE BREEZE LLC
PINE SHADOWS AIRPARK|94FL|PINE SHADOWS AIRPARK HOMEOWNER ASSN
TREASURE COAST AIRPARK|FL37|TREASURE COAST AIRPARK POA, INC
LAKE CLINCH AIRPARK|52FL|LAKE CLINCH AIRPARK ASSOCIATION
REYNOLDS AIRPARK|FL60|CLAY COUNTY PORT INC.
HALLER AIRPARK|7FL4|T&G AERO INC.
CHIPOLA AIRPARK|5FL8|ROBERT A CAPOZZI
EARLE AIRPARK|13FA|NORMAN R EARLE
HORSESHOE ACRES AIRPARK|FA24|HAROLD JOHNS
