HIGH VALLEY AIRPARK|GA87
HACKNEY AIRPARK|ID05
OASIS AIRPARK|1ID4
LAVA HOT SPRINGS AIRPARK|01ID
BIGHORN AIRPARK|ID83
SKI VALLEY AIRPARK|48ID
TIMBER BASIN AIRPARK INC|ID24
WILLIAMS AIRPARK|30LL
TOMMY'S AIRPARK|9LL5
FINNEY'S AIRPARK|II77
ROBINSON AIRPARK|1IN4
LAUTZENHISER AIRPARK|IN83
CARROLL'S AIRPARK|IN56
ALFORD AIRPARK|IN03
WALTER A SWALLEY AIRPARK|78KS
SOUTH FORK AIRPARK|9KS9
CHILES AIRPARK|69KS
CALLAWAY AIRPARK|SN33
YODER AIRPARK|SN61
ST MARY'S AIRPARK|84KS
SUNSET STRIP AIRPARK|90KS
SPRING CREEK AIRPARK|7KY4
WILLOW ISLAND AIRPARK|58KY
DEER RUN AIRPARK|85KY
SKYLINE AIRPARK|9LA9
BORDELON AIRPARK|LS34
MAJORS AIRPARK|2LS3
KOENIG AIRPARK|LS92
MAGNOLIA AIRPARK|LS77
MORRILL AIRPARK|ME67
